"clip_id","render_session","di_file","preset","processed_clip_path_reference","metrics_path_reference","peak_dbfs_estimate","rms_dbfs_estimate","lufs_estimate","clipping_status","heavy_rating_1_5","tight_attack_rating_1_5","low_end_control_rating_1_5","high_end_fizz_rating_1_5","mix_ready_rating_1_5","founder_notes","decision_keep_improve_reject_retest","beta_demo_candidate_yes_no"
"abyssal-tight-rhythm-low-tuned-chugs","2026-06-03_224713_675","LOW TUNED CHUGS.wav","Abyssal Tight Rhythm (abyssal-tight-rhythm)","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224713_675\abyssal-tight-rhythm-low-tuned-chugs\processed.wav","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224713_675\abyssal-tight-rhythm-low-tuned-chugs\metrics.json","-4.24","-9.16","-9.85","clean","","","","","","","",""
"abyssal-tight-rhythm-dynamic-pick-attack","2026-06-03_224714_917","PICK ATTACK.wav","Abyssal Tight Rhythm (abyssal-tight-rhythm)","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224714_917\abyssal-tight-rhythm-dynamic-pick-attack\processed.wav","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224714_917\abyssal-tight-rhythm-dynamic-pick-attack\metrics.json","-4.35","-10.39","-11.08","clean","","","","","","","",""
"subweight-breakdown-low-tuned-chugs","2026-06-03_224716_838","LOW TUNED CHUGS.wav","Subweight Breakdown (subweight-breakdown)","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224716_838\subweight-breakdown-low-tuned-chugs\processed.wav","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224716_838\subweight-breakdown-low-tuned-chugs\metrics.json","-4.69","-9.12","-9.81","clean","","","","","","","",""
"subweight-breakdown-dynamic-pick-attack","2026-06-03_224717_960","PICK ATTACK.wav","Subweight Breakdown (subweight-breakdown)","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224717_960\subweight-breakdown-dynamic-pick-attack\processed.wav","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224717_960\subweight-breakdown-dynamic-pick-attack\metrics.json","-4.86","-9.92","-10.61","clean","","","","","","","",""
"glass-attack-lead-dynamic-pick-attack","2026-06-03_224719_924","PICK ATTACK.wav","Glass Attack Lead (glass-attack-lead)","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224719_924\glass-attack-lead-dynamic-pick-attack\processed.wav","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224719_924\glass-attack-lead-dynamic-pick-attack\metrics.json","-4.61","-10.39","-11.08","clean","","","","","","","",""
"void-clean-bloom-dynamic-pick-attack","2026-06-03_224721_799","PICK ATTACK.wav","Void Clean Bloom (void-clean-bloom)","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224721_799\void-clean-bloom-dynamic-pick-attack\processed.wav","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224721_799\void-clean-bloom-dynamic-pick-attack\metrics.json","-1.53","-26.50","-27.19","clean","","","","","","","",""
"reverse-abyss-transition-dynamic-pick-attack","2026-06-03_224723_667","PICK ATTACK.wav","Reverse Abyss Transition (reverse-abyss-transition)","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224723_667\reverse-abyss-transition-dynamic-pick-attack\processed.wav","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224723_667\reverse-abyss-transition-dynamic-pick-attack\metrics.json","-3.35","-29.16","-29.85","clean","","","","","","","",""
"noise-floor-utility-noise-floor-test","2026-06-03_224725_708","noise.wav","Noise Floor Utility (noise-floor-utility)","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224725_708\noise-floor-utility-noise-floor-test\processed.wav","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224725_708\noise-floor-utility-noise-floor-test\metrics.json","-68.69","-86.49","-87.18","clean","","","","","","","",""
"reference-heavy-weight-low-tuned-chugs","2026-06-03_224726_670","LOW TUNED CHUGS.wav","Reference Heavy Weight (reference-heavy-weight)","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224726_670\reference-heavy-weight-low-tuned-chugs\processed.wav","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224726_670\reference-heavy-weight-low-tuned-chugs\metrics.json","-6.77","-11.53","-12.22","clean","","","","","","","",""
"reference-heavy-weight-dynamic-pick-attack","2026-06-03_224727_800","PICK ATTACK.wav","Reference Heavy Weight (reference-heavy-weight)","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224727_800\reference-heavy-weight-dynamic-pick-attack\processed.wav","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224727_800\reference-heavy-weight-dynamic-pick-attack\metrics.json","-6.93","-12.39","-13.08","clean","","","","","","","",""
"reference-precision-response-low-tuned-chugs","2026-06-03_224729_738","LOW TUNED CHUGS.wav","Reference Precision Response (reference-precision-response)","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224729_738\reference-precision-response-low-tuned-chugs\processed.wav","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224729_738\reference-precision-response-low-tuned-chugs\metrics.json","-6.58","-11.96","-12.65","clean","","","","","","","",""
"reference-precision-response-dynamic-pick-attack","2026-06-03_224730_797","PICK ATTACK.wav","Reference Precision Response (reference-precision-response)","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224730_797\reference-precision-response-dynamic-pick-attack\processed.wav","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224730_797\reference-precision-response-dynamic-pick-attack\metrics.json","-6.77","-12.94","-13.64","clean","","","","","","","",""
"reference-tight-dark-low-tuned-chugs","2026-06-03_224732_945","LOW TUNED CHUGS.wav","Reference Tight Dark (reference-tight-dark)","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224732_945\reference-tight-dark-low-tuned-chugs\processed.wav","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224732_945\reference-tight-dark-low-tuned-chugs\metrics.json","-6.25","-11.40","-12.09","clean","","","","","","","",""
"reference-tight-dark-dynamic-pick-attack","2026-06-03_224734_092","PICK ATTACK.wav","Reference Tight Dark (reference-tight-dark)","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224734_092\reference-tight-dark-dynamic-pick-attack\processed.wav","D:\CodexBuilds\thallbyssal-lab\renders\2026-06-03_224734_092\reference-tight-dark-dynamic-pick-attack\metrics.json","-6.44","-12.60","-13.29","clean","","","","","","","",""
